# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
112,0,112,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
113,0,113,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
114,0,114,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
115,0,115,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
116,0,116,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
117,0,117,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
118,0,118,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
119,0,119,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
120,0,120,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
121,0,121,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
122,0,122,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
123,0,123,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
124,0,124,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
125,0,125,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
126,0,126,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
127,0,127,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
128,1,0,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
129,1,1,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
130,1,2,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
131,1,3,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
